품목일련번호,품목명,업소일련번호,업소명,성상,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤,분할선앞,분할선뒤,크기장축,크기단축,크기두께,이미지생성일자(약학정보원),분류번호,분류명,전문일반구분,품목허가일자,제형코드명,표기내용앞,표기내용뒤,표기이미지앞,표기이미지뒤,표기코드앞,표기코드뒤,변경일자,사업자번호,품목영문명,보험코드,표준코드
199102276,파비스암브록솔염산염정,19600014,(주)한국파비스제약,백색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N0_7a4Vsl3,PHARVIS,-,원형,하양,-,-,-,8.63,8.63,2.97,20050510,2220,진해거담제,일반의약품,19910422,나정,-,-,-,-,-,-,20191204,2838501407,PharvisAmbroxolHClTablet,621801790,8806218017906|8806218017913|8806218017920|8806836015506|8806836015513|8806836015520|8806836015537|8806836015544
199102270,말릭스정(트리메부틴말레산염),19600014,(주)한국파비스제약,백색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N8nQbYPpro,PK분할선C,-,원형,하양,-,-,-,8.5,8.5,3.1,20051207,2390,기타의소화기관용약,일반의약품,19910422,나정,-,-,-,-,-,-,20200930,2838501407,MalixTablet,621801760,8806218017609|8806218017616|8806218017623|8806218017630|8806218017647|8806836003206|8806836003213|8806836003220|8806836003237
199102281,암브크린정,19600014,(주)한국파비스제약,황색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427582177600006,PK분할선E,-,원형,노랑,-,-,-,8.42,8.42,3.17,20060106,2220,진해거담제,전문의약품,19910423,나정,-,-,-,-,-,-,-,2838501407,AmbucleanTab.,-,8806218018002|8806218018019|8806218018026|8806836008904|8806836008911|8806836008928|8806836008935|8806836008942
199102275,포린피아정(독시라민숙신산염),19600014,(주)한국파비스제약,연청색의타원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OsDC9sjoWQ,P분할선K,-,타원형,파랑,-,-,-,12.27,6.91,3.54,20051207,1120,최면진정제,일반의약품,19910509,나정,-,-,-,-,-,-,20200721,2838501407,ForinpiaTablet,-,8806218017807|8806218017814|8806218017821|8806836016602|8806836016619|8806836016626
199102254,세노비아정,19600014,(주)한국파비스제약,녹색의원형장용성필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427582177600012,PKE,-,원형,연두,-,-,-,9.93,9.93,4.8,20090715,2380,하제|완장제,일반의약품,19910806,필름코팅정,-,-,-,-,-,-,-,2838501407,-,-,8806218017302|8806218017319|8806218017326|8806218017333|8806836005101|8806836005118|8806836005125
199102269,파비스라니티딘정,19600014,(주)한국파비스제약,백색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pc8bb3CKxr,150KHPC,-,원형,하양,-,-,-,9.18,9.18,4.02,20120423,2320,소화성궤양용제,전문의약품,19911203,필름코팅정,-,-,-,-,-,-,-,2838501407,PharvisRanitidineTablet,-,8806218017500|8806218017517|8806218017524|8806218017531|8806836014905|8806836014912|8806836014929|8806836014936|8806836014943|8806836014950
199702618,로페랄연질캡슐,19600014,(주)한국파비스제약,황갈색의유상물이든양면적갈색의연질캡슐제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661651931000064,PK-A,-,장방형,갈색,-,-,-,25.5,9.5,9.5,20080612,3140,비타민C및P제,일반의약품,19970428,연질캡슐제|현탁상,-,-,-,-,-,-,20210628,2838501407,RopheralSoftCapsule,-,8806218015407|8806218015414|8806218015421|8806836002407|8806836002414|8806836002421|8806836002438|8806836002445|8806836002452
199702621,덴스민캡슐,19600014,(주)한국파비스제약,분홍색의분말이든상.하녹색의경질캅셀,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pvn3im1euY,PK-BPK-B,-,장방형,초록,초록,-,-,19.34,6.39,6.75,20080313,2310,치과구강용약,일반의약품,19970530,경질캡슐제|산제,-,-,-,-,-,-,20160904,2838501407,DensminCapsule,-,8806218016800|8806218016817|8806218016824|8806218016831|8806836001509|8806836001516|8806836001523
199702632,펜타올연질캡슐,19600014,(주)한국파비스제약,미갈색겔상의내용물이충진된쵸코렛색의연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427582177600030,PKP,-,타원형,갈색,-,-,-,19.67,8.65,8.65,20060320,2390,기타의소화기관용약,전문의약품,19971124,연질캡슐제|현탁상,-,-,-,-,-,-,-,2838501407,PentaolSoftCap.,-,8806218018507|8806218018514|8806218018521|8806836016305|8806836016312|8806836016329|8806836016336|8806836016343|8806836016350
199902770,하이플연질캡슐,19600014,(주)한국파비스제약,암갈색의유양물을함유한녹색의타원형연질캅셀,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427582177600039,PKP,-,타원형,초록,-,-,-,14.62,9.32,9.32,20080612,2190,기타의순환계용약,일반의약품,19990805,연질캡슐제|현탁상,-,-,-,-,-,-,-,2838501407,-,-,8806218001202|8806836017401|8806836017418
