accuracy,loss,val_accuracy,val_loss
0.0017574692610651255,6.656338691711426,0.014084506779909134,5.958794593811035
0.10720562189817429,4.875036239624023,0.035211268812417984,5.741977214813232
0.3339191675186157,3.3212172985076904,0.04929577559232712,5.496500492095947
0.5008787512779236,2.460885524749756,0.09859155118465424,5.235558986663818
0.6362038850784302,1.7968045473098755,0.11971831321716309,5.043651103973389
0.7135325074195862,1.3489078283309937,0.17605634033679962,4.824835777282715
0.7803163528442383,1.0329744815826416,0.15492957830429077,4.736563682556152
0.8383128046989441,0.8061147928237915,0.19014084339141846,4.664758205413818
0.8523725867271423,0.6951270699501038,0.18309858441352844,4.678987979888916
0.862917423248291,0.6269745230674744,0.1690140813589096,4.760308265686035
0.885764479637146,0.5066337585449219,0.19718310236930847,4.763891220092773
0.880492091178894,0.49035632610321045,0.19718310236930847,4.764467716217041
0.9297012090682983,0.3553726077079773,0.21830986440181732,4.826302528381348
0.9015817046165466,0.3964537978172302,0.2042253464460373,4.963924407958984
0.9121265411376953,0.3518657684326172,0.21830986440181732,5.114355564117432
0.9314587116241455,0.2992224395275116,0.22535210847854614,5.166719913482666
0.9420034885406494,0.2630607485771179,0.2112676054239273,5.192541122436523
0.9560632705688477,0.21653057634830475,0.21830986440181732,5.241383075714111
0.9332161545753479,0.2672901153564453,0.2042253464460373,5.303326606750488
0.9490333795547485,0.22330226004123688,0.23239436745643616,5.3139495849609375
0.9507908821105957,0.20368783175945282,0.23239436745643616,5.390058994293213
0.9648506045341492,0.19294403493404388,0.246478870511055,5.393206596374512
0.9613356590270996,0.1708228886127472,0.23943662643432617,5.401429176330566
0.9648506045341492,0.15916582942008972,0.246478870511055,5.435955047607422
0.9736379384994507,0.13755758106708527,0.23239436745643616,5.47562313079834
0.9736379384994507,0.12839141488075256,0.23239436745643616,5.4877214431762695
0.9701230525970459,0.13616053760051727,0.23943662643432617,5.639939785003662
0.9806678295135498,0.1330813765525818,0.2112676054239273,5.573946952819824
0.9648506045341492,0.16612829267978668,0.22535210847854614,5.695369720458984
0.9595782160758972,0.15530017018318176,0.23943662643432617,5.705493927001953
